ID	chromosome	position	L.1	L.2	m4	m5	L3	m6
Hs.403828	3	49285368	-0.195	0.132	1.96325	-4.03675	4.132	-0.195
Hs.75619	3	50314166	0.113	0.258	1.75325	-4.24675	4.258	NA
Hs.437083	3	50361567.5	-0.309	0.144	1.90525	-4.09475	4.144	-0.309
Hs.234521	3	50643033	0.022	-0.177	1.93925	-4.06075	3.823	NA
Hs.436439	3	52242944	0.011	-0.153	1.74125	-4.25875	3.847	0.011
Hs.106674	3	52414556	0.105	0.169	1.76025	-4.23975	4.169	0.105
Hs.435290	3	52484935.5	0.568	1.076	1.67725	-4.32275	5.076	NA
Hs.58471	3	53899551.5	0.165	-0.166	1.97925	-4.02075	3.834	0.165
Hs.446320	3	58273164	-0.1465	-0.117	2.10025	-3.89975	3.883	NA
Hs.506366	3	59875841.5	-0.123	-0.166	2.16275	-3.83725	3.834	NA
Hs.26411	3	63490850	-0.381	-0.384	1.87125	-4.12875	3.616	NA
Hs.169441	3	65660175	0.148	-0.411	2.28425	-3.71575	3.589	NA
Hs.116665	3	67137872	0.077	0.275	2.15725	-3.84275	4.275	NA
Hs.235860	3	71358213	-0.226	-0.173	2.30625	-3.69375	3.827	-0.226
Hs.123642	3	89426668.5	-0.235	0.234	2.42825	-3.57175	4.234	-0.235
Hs.64016	3	95117583.5	-0.294	-0.088	2.34625	0.34625	3.912	-0.294
Hs.401062	3	95303866.5	-0.33	-0.089	2.22025	0.22025	3.911	NA
Hs.128861	3	101058656	-0.101	-0.059	1.76125	-0.23875	3.941	-0.101
Hs.15432	3	101175362	-0.022	0.036	2.29025	0.29025	4.036	-0.022
Hs.477008	3	101630289.5	-0.213	0.171	2.18125	0.18125	4.171	-0.213
Hs.446568	3	101947253	0.178	0.076	1.98725	-0.01275	4.076	0.178
Hs.184582	3	102886104	-0.115	0.066	1.65825	-0.34175	4.066	NA
Hs.436986	3	106867664.5	0.294	0.166	1.88525	-0.11475	4.166	0.294
Hs.439631	3	114860609	-0.29	0.385	2.68225	0.68225	4.385	NA
Hs.409131	3	114981095	-0.38	-0.418	2.25225	0.25225	3.582	-0.38
Hs.21902	3	115162005.5	-0.029	0.025	2.69625	0.69625	4.025	-0.029
Hs.272822	3	129284532	-0.6285	-0.67	2.49575	0.49575	3.33	NA
Hs.2280	3	129836944	-0.393	0.118	2.38825	0.38825	4.118	-0.393
Hs.306747	3	131914411.5	-0.462	-0.151	2.22825	0.22825	3.849	-0.462
Hs.254124	3	132216369.5	-0.11	-0.43	2.31325	0.31325	3.57	NA
Hs.310512	3	133802879	-0.236	-0.171	2.11925	0.11925	3.829	NA
Hs.173438	3	139821412	-0.421	-0.101	2.00025	0.00025	3.899	NA
Hs.239818	3	139908905.5	-0.285	0.016	2.13425	0.13425	4.016	NA
Hs.14074	3	140556074	-0.485	0.252	2.06225	0.06225	4.252	-0.485
Hs.75724	3	140586368	-0.22	-0.0405	2.15625	0.15625	3.9595	-0.22
Hs.101850	3	140719520	0.072	0.131	1.33725	-0.66275	4.131	0.072
Hs.41270	3	147315782	-0.064	-0.043	2.31825	0.31825	3.957	-0.064
Hs.348478	3	147730429.5	-0.543	-0.145	2.12625	0.12625	3.855	-0.543
Hs.89472	3	149920943.5	-0.377	0.036	2.09325	0.09325	4.036	-0.377
Hs.3068	3	150258809	0.033	-0.025	2.25725	0.25725	3.975	0.033
Hs.351316	3	150573087.5	-0.088	0.137	2.06025	0.06025	4.137	-0.088
Hs.439874	3	151773327	-0.481	-0.123	2.42725	0.42725	3.877	-0.481
Hs.85195	3	159805136.5	-0.01	0.496	2.57325	0.57325	4.496	NA
Hs.673	3	161192930.5	0.105	-0.143	2.22825	0.22825	3.857	0.105
Hs.424619	3	168909845.5	-0.462	0.089	2.22325	0.22325	4.089	NA
Hs.436019	3	170316110	-0.711	0.138	2.43725	0.43725	4.138	-0.711
Hs.167584	3	172212154	-0.2065	-0.0835	2.09575	0.09575	3.9165	-0.2065
Hs.387871	3	173715068	-0.356	0.141	2.58325	0.58325	4.141	-0.356
Hs.438970	3	178309105.5	0.513	0.907	2.31625	0.31625	4.907	0.513
Hs.85482	3	180987942	-0.841	-0.319	2.39225	0.39225	3.681	NA
Hs.22010	3	185133097	0.242	0.219	1.84325	-0.15675	4.219	0.242
Hs.1166	3	185575554	0.038	0.426	2.03525	0.03525	4.426	0.038
Hs.401388	3	186809188	-0.355	0.319	2.18025	0.18025	4.319	-0.355
Hs.2554	3	188275752	-0.07	0.386	2.01625	0.01625	4.386	NA
Hs.143527	3	191783297.5	-0.0925	-0.147	2.81275	0.81275	3.853	-0.0925
Hs.386193	3	193717086.5	-0.7655	-0.375	2.54975	0.54975	3.625	-0.7655
Hs.185726	3	197280860	-0.343	-0.277	1.72125	-0.27875	3.723	NA
Hs.284275	3	198001446.5	0.2205	-0.1125	2.16075	0.16075	3.8875	0.2205
Hs.240770	3	198154164	-0.015	0.114	1.95625	-0.04375	4.114	NA
Hs.499355	3	198925867.5	0.226	0.159	1.75425	-0.24575	4.159	0.226
Hs.183706	4	2925836	0.397	-0.303	1.87525	-0.12475	3.697	0.397
Hs.13872	4	5135683.5	0.002	-0.223	2.13425	0.13425	3.777	0.002
Hs.26077	4	6415674.5	-0.179	-0.103	1.58025	-0.41975	3.897	NA
Hs.467614	4	7169722	-0.1385	-0.205	2.08775	0.08775	3.795	NA
Hs.95497	4	9715199	-0.095	-0.406	2.14925	0.14925	3.594	-0.095
Hs.105941	4	13220514.5	-0.611	-0.307	2.21325	0.21325	3.693	-0.611
Hs.5548	4	15307852	-0.165	-0.593	2.46225	0.46225	3.407	-0.165
Hs.87202	4	41589471	-0.54	0.26	1.99125	-0.00875	4.26	-0.54
Hs.21398	4	44534348	-0.358	-0.002	2.21975	0.21975	3.998	-0.358
Hs.479669	4	47975338	0.172	0.003	1.48325	-0.51675	4.003	NA
Hs.438953	4	52729020	-0.2435	-0.4595	2.53825	0.53825	3.5405	-0.2435
Hs.407755	4	54225865	-0.044	-0.043	2.07625	0.07625	3.957	-0.044
Hs.74615	4	54970734	-0.048	-0.173	2.37225	0.37225	3.827	-0.048
Hs.81665	4	55406435.5	0.078	0.292	2.08425	0.08425	4.292	NA
Hs.444439	4	57169693.5	-0.344	-0.197	2.15725	0.15725	3.803	-0.344
Hs.13775	4	57359284.5	-0.139	0.109	1.77525	-0.22475	4.109	NA
Hs.385945	4	66362289.5	-0.513	-0.166	2.58725	0.58725	3.834	-0.513
Hs.58871	4	69947314.5	-0.681	-0.174	2.08525	0.08525	3.826	-0.681
Hs.709	4	72243027.5	-0.406	-0.006	2.15825	0.15825	3.994	NA
Hs.2164	4	75218239	0.083	0.46	2.45625	0.45625	4.46	NA
Hs.89690	4	75268559.5	-0.325	-0.281	2.01125	0.01125	3.719	-0.325
Hs.270833	4	75683700	-0.186	-0.127	1.81425	-0.18575	3.873	-0.186
Hs.105460	4	76272391	-0.138	0.229	1.72625	-0.27375	4.229	NA
Hs.310540	4	76901797	0.393	-0.29	2.19625	0.19625	3.71	NA
Hs.77367	4	77282738	-0.075	0.064	2.00125	0.00125	4.064	-0.075
Hs.18442	4	83724180	-0.655	-0.088	2.12025	0.12025	3.912	-0.655
Hs.301789	4	88707195.5	0.123	-0.167	1.95625	-0.04375	3.833	NA
Hs.43744	4	89536816.5	-0.346	0.335	2.37125	0.37125	4.335	-0.346
Hs.272458	4	102463647.5	-0.099	-0.0015	2.19725	0.19725	3.9985	-0.099
Hs.411826	4	104082964	-0.3465	0.12	2.36825	0.36825	4.12	-0.3465
Hs.105656	4	107610854	0.463	-0.139	1.42225	-0.57775	3.861	0.463
Hs.3833	4	108945724	-0.18	-0.642	2.28125	0.28125	3.358	NA
Hs.173705	4	120577571	-0.101	0.122	1.83325	-0.16675	4.122	-0.101
Hs.145741	4	122947762.5	-0.175	-0.113	2.44725	0.44725	3.887	-0.175
Hs.436944	4	124680401	-0.101	0.126	2.31425	0.31425	4.126	-0.101
Hs.135554	4	129086592	0.371	-0.387	2.03425	0.03425	3.613	NA
Hs.130269	4	144839226	-0.642	-0.27	2.28925	0.28925	3.73	NA
Hs.29645	4	148940008.5	-0.13	0.127	2.01025	0.01025	4.127	-0.13
Hs.319946	4	154240128.5	-0.33	0.187	1.90125	-0.09875	4.187	-0.33
Hs.75431	4	155887373.5	-0.491	-0.145	2.61125	0.61125	3.855	NA
Hs.79141	4	178034441.5	0.138	-0.034	2.56325	0.56325	3.966	NA
Hs.76894	4	184199138	-0.187	0.0136666666666667	2.09358333333333	0.0935833333333333	4.01366666666667	NA
Hs.257336	4	184552484	0.21	0.127	2.21125	0.21125	4.127	0.21
Hs.196927	5	1933214	-0.082	-0.441	1.74325	-0.25675	3.559	-0.082
Hs.1600	5	10318983	0.591	-0.085	2.16925	0.16925	3.915	NA
Hs.436421	5	11491028.5	0.302	0.134	2.12225	0.12225	4.134	NA
Hs.368605	5	34780412.5	-0.166	0.136	2.11125	0.11125	4.136	NA
Hs.254699	5	36008215	0.173	-0.12	1.95825	-0.04175	3.88	0.173
Hs.23348	5	36219643	0.127	0.313	2.19125	0.19125	4.313	0.127
Hs.276506	5	39198268.5	0.5155	-0.1845	2.12475	0.12475	3.8155	0.5155
Hs.43322	5	40814641.5	0.137	0.0775	1.95625	-0.04375	4.0775	0.137
Hs.275775	5	42841746	-0.028	0.27	2.48425	0.48425	4.27	NA
Hs.124165	5	44854513.5	-0.494	-0.795	2.55425	0.55425	3.205	-0.494
Hs.439320	5	52275408	-0.425	-0.07	2.46925	0.46925	3.93	-0.425
Hs.289044	5	54495205	-0.401	-0.142	1.90725	-0.09275	3.858	-0.401
Hs.170610	5	56186877	0.055	0.104	2.38025	0.38025	4.104	0.055
Hs.71252	5	56550399	-0.225	0.094	2.43825	0.43825	4.094	NA
Hs.422901	5	68904339	-0.619	-0.581	1.85425	-0.14575	3.419	-0.619
Hs.125720	5	68928772	-0.26	-0.292	1.62725	-0.37275	3.708	NA
Hs.508565	5	69428257.5	-0.489	-0.339	1.98225	-0.01775	3.661	-0.489
Hs.79299	5	77829337.5	-0.295	0.166	1.95725	-0.04275	4.166	NA
Hs.438240	5	79775181	-0.487	0.088	1.81625	-0.18375	4.088	-0.487
Hs.83765	5	79972187.5	-0.249666666666667	0.0113333333333333	2.17591666666667	0.175916666666667	4.01133333333333	-0.249666666666667
Hs.410953	5	80425011	0.109	-0.229	1.86425	-0.13575	3.771	NA
Hs.355606	5	82396683.5	-0.305	-0.466	2.12625	NA	3.534	-0.305
Hs.368950	5	88142719	0.2	0.602	1.63725	NA	4.602	0.2
Hs.153692	5	90193107.5	-0.277	-0.247	1.87325	NA	3.753	-0.277
Hs.436186	5	96143202.5	0.229	0.009	1.69525	NA	4.009	0.229
Hs.121558	5	108331346.5	-0.495	-0.257	1.95125	NA	3.743	-0.495
Hs.75081	5	112163999.5	-0.282	-0.198666666666667	1.74791666666667	NA	3.80133333333333	-0.282
Hs.406191	5	115275146.5	-0.274	-0.386	2.34525	NA	3.614	NA
Hs.423367	5	122748464.5	-0.468	-0.125	2.09825	NA	3.875	NA
Hs.5985	5	130692975	-0.351	0.077	1.94625	NA	4.077	-0.351
Hs.845	5	132023231.5	-0.142	0.103	1.75725	NA	4.103	NA
Hs.29700	5	132375363	0.132	0.925	2.16125	NA	4.925	NA
Hs.283437	5	133325738	-0.3785	-0.15	1.96975	NA	3.85	NA
Hs.404814	5	133403231	-0.63	-0.002	2.41325	NA	3.998	NA
Hs.279582	5	133974255	-0.479	0.089	2.01925	NA	4.089	NA
Hs.75258	5	134718236.5	0.0305	0.227	1.63475	NA	4.227	0.0305
Hs.153546	5	137564076.5	-1.078	0.406	1.77625	NA	4.406	NA
Hs.326035	5	137830991	0.066	0.133	1.74725	NA	4.133	NA
Hs.184233	5	137928968	0.382	0.17	1.42925	NA	4.17	NA
Hs.396644	5	138719667	0.12	0.278	1.84125	NA	4.278	0.12
Hs.408515	5	139305253	0.077	-0.086	2.28925	NA	3.914	0.077
Hs.163867	5	140006188	-0.141	-0.352	2.17525	NA	3.648	-0.141
Hs.247734	5	140210734	-0.180111111111111	-0.0288888888888889	1.81336111111111	NA	3.97111111111111	NA
Hs.283678	5	140584184	-0.241	-0.363	1.84425	NA	3.637	-0.241
Hs.283794	5	140753144.5	0.185	0.0665	1.74625	NA	4.0665	NA
Hs.388681	5	140987769.5	-0.094	0.107	1.54825	NA	4.107	-0.094
Hs.300052	5	145839183.5	-0.465	-0.149	1.86725	NA	3.851	-0.465
Hs.128572	5	146279254	-0.007	-0.016	1.89725	NA	3.984	NA
Hs.435228	5	150009703.5	0.233	0.599	1.20825	NA	4.599	0.233
Hs.29444	5	150147094.5	0.041	0.16	2.18325	NA	4.16	0.041
Hs.132158	5	150896272	0.247	-0.033	1.91125	NA	3.967	0.247
Hs.211201	5	156690872	0.092	0.105	1.90125	NA	4.105	NA
Hs.434243	5	167740505.5	0.003	-0.122	1.72625	NA	3.878	0.003
Hs.17211	5	169219914.5	-0.416	0.047	1.86325	NA	4.047	-0.416
Hs.2488	5	169632532.5	-0.162	-0.222	1.76425	NA	3.778	-0.162
Hs.221281	5	171254590.5	0.36	0.053	1.96925	NA	4.053	NA
Hs.179852	5	171570526.5	-0.413	0.184	2.30125	NA	4.184	-0.413
Hs.91521	5	172049137	-0.095	-0.071	1.94025	NA	3.929	NA
Hs.440165	5	172368768.5	-0.068	0.155	2.07325	NA	4.155	-0.068
Hs.442993	5	176668305.5	-0.382	0.001	2.14825	NA	4.001	NA
Hs.509207	5	177243583.5	-0.145	-0.047	1.72125	NA	3.953	-0.145
Hs.348446	5	179617801.5	-0.35	-0.2265	2.01825	NA	3.7735	-0.35
